date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:25:18	227/227	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:19%20GMT	http://www.inedia.net84.net/robots.txt		(from )
21:25:18	15957/15957	---MC-	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:19%20GMT	http://www.inedia.net84.net/	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/index.html	(from )
21:25:19	40580/40580	---M-Z	200	added ('OK')	text/css	etag:%229e84+gzip%22	http://cdn1.editmysite.com/editor/images/common/common-v2.css?buildTime=1344299624	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/cdn1.editmysite.com/editor/images/common/common-v2d182.css	(from http://www.inedia.net84.net/)
21:25:19	8934/8934	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Aug%202012%2019:39:17%20GMT	http://www.inedia.net84.net/files/main_style.css?1344425947	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/files/main_style7241.css	(from http://www.inedia.net84.net/)
21:25:20	88200/88200	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215888+gzip%22	http://cdn1.editmysite.com/libraries/prototype/1.7-custom/prototype.min.js	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/cdn1.editmysite.com/libraries/prototype/1.7-custom/prototype.min.js	(from http://www.inedia.net84.net/)
21:25:20	23922/23922	---M-Z	200	added ('OK')	application/x-javascript	etag:%225d72+gzip%22	http://cdn1.editmysite.com/libraries/scriptaculous/1.9.0-custom/effects.min.js	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/cdn1.editmysite.com/libraries/scriptaculous/1.9.0-custom/effects.min.js	(from http://www.inedia.net84.net/)
21:25:21	20985/20985	---M-Z	200	added ('OK')	application/x-javascript	etag:%2251f9+gzip%22	http://cdn1.editmysite.com/editor/images/common/utilities.js?1344299624	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/cdn1.editmysite.com/editor/images/common/utilities0c4d.js	(from http://www.inedia.net84.net/)
21:25:21	24686/24686	---M-Z	200	added ('OK')	application/x-javascript	etag:%22606e+gzip%22	http://cdn1.editmysite.com/editor/images/common/lightbox202.js?1344299624	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/cdn1.editmysite.com/editor/images/common/lightbox2020c4d.js	(from http://www.inedia.net84.net/)
21:25:21	26206/26206	---M-Z	200	added ('OK')	application/x-javascript	etag:%22665e+gzip%22	http://cdn1.editmysite.com/languages/it/libraries/flyout_menus.js?1344299624	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/cdn1.editmysite.com/languages/it/libraries/flyout_menus0c4d.js	(from http://www.inedia.net84.net/)
21:25:22	8934/8934	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Aug%202012%2019:39:17%20GMT	http://www.inedia.net84.net/files/main_style.css	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/files/main_style.css	(from http://www.inedia.net84.net/)
21:25:22	11071/11071	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Aug%202012%2017:24:18%20GMT	http://www.inedia.net84.net/files/theme/main_style.css	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/files/theme/main_style.css	(from http://www.inedia.net84.net/)
21:25:23	678/678	---M--	200	added ('OK')	image/gif	date:Sat,%2011%20Aug%202012%2021:20:15%20GMT	http://www.inedia.net84.net/files/theme/container_top2.gif	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/files/theme/container_top2.gif	(from http://www.inedia.net84.net/)
21:25:23	15957/15957	---MC-	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:24%20GMT	http://www.inedia.net84.net/index.php	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/index-2.html	(from http://www.inedia.net84.net/)
21:25:24	8291/8291	---MC-	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:25%20GMT	http://www.inedia.net84.net/prefazione.html	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/prefazione.html	(from http://www.inedia.net84.net/)
21:25:24	7454/7454	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:25%20GMT	http://www.inedia.net84.net/joachim-e-la-sua-esperienza.html	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/joachim-e-la-sua-esperienza.html	(from http://www.inedia.net84.net/)
21:25:24	4184/4184	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:26%20GMT	http://www.inedia.net84.net/indice-e-argomenti-del-libro.html	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/indice-e-argomenti-del-libro.html	(from http://www.inedia.net84.net/)
21:25:25	4602/4602	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:26%20GMT	http://www.inedia.net84.net/estratto-pdf.html	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/estratto-pdf.html	(from http://www.inedia.net84.net/)
21:25:25	8864/8864	---MC-	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:26%20GMT	http://www.inedia.net84.net/acquista-libro.html	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/acquista-libro.html	(from http://www.inedia.net84.net/)
21:25:26	4936/4936	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202013%2020:25:27%20GMT	http://www.inedia.net84.net/contatti.html	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.inedia.net84.net/contatti.html	(from http://www.inedia.net84.net/)
21:25:33	3855/3855	---M--	200	added ('OK')	image/gif	date:Fri,%2018%20Oct%202013%2023:27:43%20GMT	https://www.paypalobjects.com/it_IT/IT/i/btn/btn_buynowCC_LG.gif	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.paypalobjects.com/it_IT/IT/i/btn/btn_buynowCC_LG.gif	(from http://www.inedia.net84.net/)
21:25:37	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2018%20Oct%202013%2023:27:44%20GMT	https://www.paypalobjects.com/it_IT/i/scr/pixel.gif	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/www.paypalobjects.com/it_IT/i/scr/pixel.gif	(from http://www.inedia.net84.net/)
21:25:37	46/46	---M--	200	added ('OK')	image/gif	etag:%222e%22	http://cdn1.editmysite.com/editor/images/common/form_input_bg.gif	D:/Users/Marco/Pictures/SITI%20WEB/LSWF/cdn1.editmysite.com/editor/images/common/form_input_bg.gif	(from http://cdn1.editmysite.com/editor/images/common/common-v2.css?buildTime=1344299624)
